method,endpoint,endpointLength,executionTime,average_time
POST,/api/products/,2,1.1541180610656738,0.6411846743689643
POST,/api/products/,2,0.6516175270080566,0.6411846743689643
POST,/api/products/,2,0.5420794486999512,0.6411846743689643
POST,/api/products/,2,0.3985474109649658,0.6411846743689643
POST,/api/products/,2,0.58571457862854,0.6411846743689643
POST,/api/products/,2,0.5924201011657715,0.6411846743689643
POST,/api/products/,2,0.5150952339172363,0.6411846743689643
POST,/api/products/,2,0.5632805824279785,0.6411846743689643
POST,/api/products/,2,0.5364863872528076,0.6411846743689643
GET,/api/schema?format=json&lang=ar,4,0.8965868949890137,0.9832886457443237
GET,/api/schema?format=json&lang=ar-dz,4,0.7548773288726807,0.9832886457443237
GET,/api/schema?format=json&lang=ast,4,0.5381505489349365,0.9832886457443237
GET,/api/schema?format=json&lang=az,4,0.6154208183288574,0.9832886457443237
GET,/api/schema?format=json&lang=be,4,0.5212790966033936,0.9832886457443237
GET,/api/schema?format=json&lang=bg,4,0.5297706127166748,0.9832886457443237
GET,/api/schema?format=json&lang=bn,4,1.582207441329956,0.9832886457443237
GET,/api/schema?format=json&lang=br,4,1.0096583366394043,0.9832886457443237
GET,/api/schema?format=json&lang=bs,4,0.4742097854614258,0.9832886457443237
GET,/api/products/,2,3.9040143489837646,0.9832886457443237
PATCH,/api/products/2504/,3,0.6259706020355225,28.25277564260695
PATCH,/api/products/2505/,3,0.6137392520904541,28.25277564260695
PATCH,/api/products/2505/,3,0.6877179145812988,28.25277564260695
PATCH,/api/products/2505/,3,0.7567567825317383,28.25277564260695
PATCH,/api/products/2506/,3,0.8093001842498779,28.25277564260695
PATCH,/api/products/2506/,3,0.8227193355560303,28.25277564260695
PATCH,/api/products/2506/,3,0.6441948413848877,28.25277564260695
PATCH,/api/products/2506/,3,1.245408535003662,28.25277564260695
PATCH,/api/products/2506/,3,0.5270521640777588,28.25277564260695
GET,/api/products/2507/,3,0.4085602760314941,0.9832886457443237
PUT,/api/products/2509/,3,0.7692725658416748,28.4369299809138
PUT,/api/products/2510/,3,0.6623055934906006,28.4369299809138
PUT,/api/products/2510/,3,0.5543575286865234,28.4369299809138
PUT,/api/products/2510/,3,0.3854358196258545,28.4369299809138
PUT,/api/products/2511/,3,0.5874629020690918,28.4369299809138
PUT,/api/products/2511/,3,0.6031134128570557,28.4369299809138
PUT,/api/products/2511/,3,0.5784120559692383,28.4369299809138
PUT,/api/products/2511/,3,0.6040153503417969,28.4369299809138
PUT,/api/products/2511/,3,0.5042273998260498,28.4369299809138
DELETE,/api/products/2512/,3,0.4219527244567871,0.625145435333252
POST,/api/products/,2,1.067812204360962,0.6411846743689643
POST,/api/products/,2,0.5973095893859863,0.6411846743689643
POST,/api/products/,2,0.6386721134185791,0.6411846743689643
POST,/api/products/,2,0.6378207206726074,0.6411846743689643
POST,/api/products/,2,0.6776115894317627,0.6411846743689643
POST,/api/products/,2,0.5860726833343506,0.6411846743689643
POST,/api/products/,2,0.6255476474761963,0.6411846743689643
POST,/api/products/,2,0.6217687129974365,0.6411846743689643
POST,/api/products/,2,0.5493495464324951,0.6411846743689643
GET,/api/schema?format=json&lang=ar,4,0.7618331909179688,0.9832886457443237
GET,/api/schema?format=json&lang=ar-dz,4,0.6673574447631836,0.9832886457443237
GET,/api/schema?format=json&lang=ast,4,0.8235499858856201,0.9832886457443237
GET,/api/schema?format=json&lang=az,4,0.6655969619750977,0.9832886457443237
GET,/api/schema?format=json&lang=be,4,0.6259453296661377,0.9832886457443237
GET,/api/schema?format=json&lang=bg,4,0.5305302143096924,0.9832886457443237
GET,/api/schema?format=json&lang=bn,4,0.930917739868164,0.9832886457443237
GET,/api/schema?format=json&lang=br,4,0.6697757244110107,0.9832886457443237
GET,/api/schema?format=json&lang=bs,4,0.5927927494049072,0.9832886457443237
GET,/api/products/,2,3.7462575435638414,0.9832886457443237
PATCH,/api/products/2598/,3,55.58936667442322,28.25277564260695
PATCH,/api/products/2599/,3,56.10540270805359,28.25277564260695
PATCH,/api/products/2599/,3,55.61546492576599,28.25277564260695
PATCH,/api/products/2599/,3,55.52653193473816,28.25277564260695
PATCH,/api/products/2600/,3,56.3697190284729,28.25277564260695
PATCH,/api/products/2600/,3,55.63484072685242,28.25277564260695
PATCH,/api/products/2600/,3,55.63920211791992,28.25277564260695
PATCH,/api/products/2600/,3,55.6505606174469,28.25277564260695
PATCH,/api/products/2600/,3,55.68601322174072,28.25277564260695
GET,/api/products/2601/,3,0.3830578327178955,0.9832886457443237
PUT,/api/products/2603/,3,56.03639435768128,28.4369299809138
PUT,/api/products/2604/,3,57.06400275230408,28.4369299809138
PUT,/api/products/2604/,3,56.23946261405945,28.4369299809138
PUT,/api/products/2604/,3,56.16920471191406,28.4369299809138
PUT,/api/products/2605/,3,56.26264023780823,28.4369299809138
PUT,/api/products/2605/,3,56.29782962799072,28.4369299809138
PUT,/api/products/2605/,3,56.23446321487427,28.4369299809138
PUT,/api/products/2605/,3,56.199159145355225,28.4369299809138
PUT,/api/products/2605/,3,56.11298036575317,28.4369299809138
DELETE,/api/products/2606/,3,0.8283381462097168,0.625145435333252
