method,endpoint,endpointLength,executionTime
POST,/api/blog/posts,3,0.05633378028869629
POST,/api/blog/posts,3,0.03375101089477539
POST,/api/blog/posts,3,0.03506922721862793
POST,/api/blog/posts,3,0.058104753494262695
POST,/api/blog/posts,3,0.04846072196960449
POST,/api/blog/posts,3,0.02358412742614746
POST,/api/blog/posts,3,0.042319297790527344
POST,/api/blog/posts,3,0.04467153549194336
POST,/api/blog/posts,3,0.04323124885559082
POST,/api/blog/posts,3,0.09261941909790039
POST,/api/blog/posts,3,0.1000971794128418
POST,/api/blog/posts,3,0.046452999114990234
POST,/api/blog/posts,3,0.04553699493408203
POST,/api/blog/posts,3,0.07135200500488281
POST,/api/blog/posts,3,0.03868436813354492
POST,/api/blog/posts,3,0.04079008102416992
POST,/api/blog/posts,3,0.042307138442993164
POST,/api/blog/posts,3,0.04026675224304199
GET,/api/doc,2,0.03417205810546875
POST,/api/blog/posts,3,0.04899740219116211
POST,/api/blog/posts,3,0.04607963562011719
POST,/api/blog/posts,3,0.03792238235473633
POST,/api/blog/posts,3,0.05600142478942871
POST,/api/blog/posts,3,0.04892158508300781
POST,/api/blog/posts,3,0.04974532127380371
POST,/api/blog/posts,3,0.060799360275268555
POST,/api/blog/posts,3,0.08089947700500488
POST,/api/blog/posts,3,0.06569814682006836
POST,/api/blog/posts,3,0.05445742607116699
POST,/api/blog/posts,3,0.05081534385681152
POST,/api/blog/posts,3,0.09446573257446289
POST,/api/blog/posts,3,0.054898738861083984
POST,/api/blog/posts,3,0.05441904067993164
GET,/api/blog/posts/2824,4,0.08947896957397461
PUT,/api/blog/posts/2826,4,0.07612156867980957
PUT,/api/blog/posts/2827,4,0.06671261787414551
PUT,/api/blog/posts/2829,4,0.05799245834350586
DELETE,/api/blog/posts/2832,4,0.07020711898803711
GET,/api/doc,2,0.05099987983703613
POST,/api/blog/posts,3,0.056145429611206055
POST,/api/blog/posts,3,0.034001827239990234
POST,/api/blog/posts,3,0.03799748420715332
POST,/api/blog/posts,3,0.05992293357849121
POST,/api/blog/posts,3,0.10361552238464355
POST,/api/blog/posts,3,0.06671667098999023
POST,/api/blog/posts,3,0.05620718002319336
POST,/api/blog/posts,3,0.03039693832397461
POST,/api/blog/posts,3,0.03200054168701172
POST,/api/blog/posts,3,0.05644059181213379
POST,/api/blog/posts,3,0.06464362144470215
POST,/api/blog/posts,3,0.03595685958862305
POST,/api/blog/posts,3,0.03575587272644043
POST,/api/blog/posts,3,0.053127288818359375
POST,/api/blog/posts,3,0.028344392776489258
POST,/api/blog/posts,3,0.028699874877929688
POST,/api/blog/posts,3,0.03568315505981445
POST,/api/blog/posts,3,0.050119638442993164
GET,/api/blog/posts/2842,4,0.031481266021728516
PUT,/api/blog/posts/2843,4,0.03751349449157715
PUT,/api/blog/posts/2843,4,0.03491783142089844
DELETE,/api/blog/posts/2845,4,0.038491249084472656
GET,/api/doc,2,0.030188560485839844
POST,/api/blog/posts,3,0.05333280563354492
POST,/api/blog/posts,3,0.034365177154541016
POST,/api/blog/posts,3,0.04604291915893555
POST,/api/blog/posts,3,0.0744931697845459
POST,/api/blog/posts,3,0.05117368698120117
POST,/api/blog/posts,3,0.031914472579956055
POST,/api/blog/posts,3,0.03416728973388672
POST,/api/blog/posts,3,0.053964853286743164
POST,/api/blog/posts,3,0.12537074089050293
POST,/api/blog/posts,3,0.04147624969482422
POST,/api/blog/posts,3,0.049149513244628906
